Publicado em 28/10 às 12:52;cód. 1089351787;118.000;Aceita troca,IPVA pago;Carros, vans e utilitários,FORD F-250 XL 4.2 TURBO DIESEL,FORD,Pick-up,2001,300000,4.0 ou mais,Diesel,Não,Manual,Hidráulica,Cinza,2 portas,5;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Air bag,Trava elétrica,Ar condicionado,Alarme,Som;Profissional;Montes Claros;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/f250-mwm-6-cilindros-1089351787;10/11/2022
Publicado em 05/10 às 15:31;cód. 1075967977;51.000;Aceita troca;Carros, vans e utilitários,GM - CHEVROLET S10 PICK-UP LUXE 2.8 4X2 CD TB INT.DIES.,GM - CHEVROLET,2001,270000,Diesel,Não,Verde;Categoria,Modelo,Marca,Ano,Quilometragem,Combustível,Kit GNV,Cor;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme;Profissional;Januária;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/s10-1075967977;10/11/2022
Publicado em 10/11 às 16:59;cód. 1108107957;59.900;Aceita troca,IPVA pago;Carros, vans e utilitários,DODGE DAKOTA SPORT 2.5 CD DIESEL,DODGE,Pick-up,2001,160000,2.0 - 2.9,Diesel,Não,Manual,Hidráulica,Preto,4 portas,4;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Air bag,Trava elétrica,Ar condicionado,Alarme;Particular;Pirapora;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/dodge-dakota-diesel-1108107957;10/11/2022
Publicado em 09/11 às 14:53;cód. 1107547241;None;IPVA pago,Não aceita troca,Único dono;Carros, vans e utilitários,GM - CHEVROLET CORSA SEDAN 1.0 MPFI 8V 71CV 4P,GM - CHEVROLET,Sedã,2001,1111111,1.0,Gasolina,Não,Manual,Hidráulica,Cinza,4 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Ar condicionado;Particular;Montes Claros;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/corsa-sedan-millenium-1107547241;10/11/2022
Publicado em 09/11 às 02:44;cód. 1107291561;55.555;Aceita troca;Carros, vans e utilitários,FIAT PALIO ELX 1.0 MPI FIRE 16V 4P (25 ANOS),FIAT,Hatch,2001,25000,1.0,Gasolina,Não,Manual,Hidráulica,Prata,4 portas,9;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som;Particular;Montes Claros;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/vendo-1107291561;10/11/2022
Publicado em 09/11 às 02:12;cód. 1107284425;10.300;IPVA pago,Não aceita troca;Carros, vans e utilitários,FIAT PALIO EX 1.0 MPI 4P,FIAT,Hatch,2001,0,1.0,Gasolina,Não,Manual,Mecânica,Outra,4 portas,9;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Montes Claros;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/palio-2001-pra-vender-1107284425;10/11/2022
Publicado em 08/11 às 23:35;cód. 1107251962;12.000;Aceita troca,IPVA pago;Carros, vans e utilitários,AUDI A3 1.8 5P MEC.,AUDI,Hatch,2001,115000,1.8,Gasolina,Não,Manual,Hidráulica,Prata,4 portas,4;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Air bag,Ar condicionado,Som;Particular;Corinto;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/audi-a3-1107251962;10/11/2022
Publicado em 08/11 às 15:14;cód. 1106997408;18.000;;Carros, vans e utilitários,GM - CHEVROLET CELTA 1.0/ SUPER 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,Hatch,2001,120000,1.0,Gasolina,Não,Manual,Mecânica,Vermelho,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Alarme,Som;Particular;Montes Claros;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/celta-1106997408;10/11/2022
Publicado em 07/11 às 20:27;cód. 1106702140;16.000;Aceita troca,IPVA pago;Carros, vans e utilitários,GM - CHEVROLET ZAFIRA 2.0/ CD 2.0  8V  MPFI 5P MEC.,GM - CHEVROLET,SUV,2001,117500,2.0 - 2.9,Gasolina,Não,Manual,Hidráulica,Verde,7;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme;Particular;Lassance;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/zafira-2-0-8v-gasolina-2001-1106702140;10/11/2022
Publicado em 07/11 às 12:40;cód. 1106489274;12.800;;Carros, vans e utilitários,GM - CHEVROLET CELTA 1.0/SUPER/N.PIQ.1.0 MPFI VHC 8V 3P,GM - CHEVROLET,Hatch,2001,233931,1.0,Gasolina,Não,Manual,Prata,2 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Cor,Portas,Final de placa;Vidro elétrico;Particular;Montes Claros;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/celta-2portas-2001-1106489274;10/11/2022
